user_id,display_name,heading,location,description,describe_seeking,looking_for,seeking,age,height,body_type,ethnicity,hair_color,eye_color,piercings,tattoos,smoker,drinks,education,relationship_status,images,additional_images,private_images
633,Blue eyes,Eyes to die for,"Parramatta NSW, Australia","Although I'm young I know what I want from being in this platform and its not just someones trophy.
I love keeping fit, swimming and walking my dog. I am studying drama full time so id prefer none here lol.",somebody to help me with my studies and rent. And a person that can offer good advice on the pitfalls in life so I can avoid them .,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Dinner dates",,,,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/16dbcb93-9854-4d20-858f-efd61e79b7df.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/32039ef6-41f7-421a-bc2c-3f9af8e2996e.jpg",https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/32039ef6-41f7-421a-bc2c-3f9af8e2996e.jpg,
634,Angelbaby8,Not as sweet and innocent as I look.,"Wollongong NSW, Australia","Well where to start ? Im from Brazil I have lived in Australia for two years now. I love eating out at good restaurants, shopping and relaxing with my pets and friends.","I am on here to meet a person that can spoil me and show me what I've been missing so far in life. A person that is self asured and respectful. Kind, inteligent and does not take themselves or life too seriously. I know I'm asking a lot here. Maybe yo just have your own teeth and we will go from there : ) x",Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Dinner dates",,,,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/66a3d64d-487a-4c2c-882d-8c66ff894905.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/1540a171-3e1a-4cea-b5a4-ac1323ea885a.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/42b28ac7-85b4-4ec8-85a5-b9125beb7f49.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/a20defd0-fab2-4c13-ba59-f9859c7c2424.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/1540a171-3e1a-4cea-b5a4-ac1323ea885a.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/42b28ac7-85b4-4ec8-85a5-b9125beb7f49.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/a20defd0-fab2-4c13-ba59-f9859c7c2424.jpg",
635,lipstix,Open to suggestions,"Gold Coast QLD, Australia","Free spirited, I gravitate to the good in life and people. You're find me outdoors as much as possible at the beach or bushwalking. I design swim suits and love all things associated with  fashion.",Im looking to meet someone who can inspire me and offer the financial assistance and advice I need in starting up my business.  Some one I can feel comfortable with to discus anything and be myself when with them.,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Mentorship, Investor, Discretion, Dinner dates, Emotional connection",,,,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/10ccecab-8db2-4241-a1d0-147920ca612b.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/07a056a2-bf25-4684-93e6-dc53d2a09cda1.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/64b1ab11-70c1-423f-a275-a28b495c17c91.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/07a056a2-bf25-4684-93e6-dc53d2a09cda1.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/64b1ab11-70c1-423f-a275-a28b495c17c91.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/31c582d6-df18-45e5-9d68-efe3afe3200c1.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/53cff3e4-5b41-4fc4-95fa-b345753ea0531.jpg"
636,juicyfruity,All the woman you will need,"Bondi Junction NSW, Australia","Well hello, what to tell? I have curves in all of the right places. I love to keep in shape as much as I love cooking and eating out. Looking for a man that I can have a mutually beneficial relationship with. The ore you care and look after me the more I will recipricate. Looking forward to seeing what gentlemen are out there.",I pretty much said it all above. xx,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Romance, Dinner dates, Emotional connection",,,,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/65f90c69-f431-4a6c-9718-db3d5aa6f39e.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/63fc995d-86e7-4db7-a1c9-8f992b8eff6b.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/4c83bb40-d62a-429b-892d-76821e2e43cd.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/63fc995d-86e7-4db7-a1c9-8f992b8eff6b.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/4c83bb40-d62a-429b-892d-76821e2e43cd.jpg",
637,sportyluvbabe,my profile name says it all,"Surry Hills NSW, Australia","Again , my profile name says it all lol xx",Fun Fun Fun and to be spoilt while having some.,Arrangement Value,"Luxury Lifestyle, Designer gifts, Dinner dates",,,,,,,,,Yes,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/40fd7f20-59ac-49ba-9eb5-8c1beb2c2f2b.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/42e5557e-dc5c-4ea5-b1ac-86099f535bf8.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/21170d2a-86e1-47c2-af47-3135262a35bb.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/42e5557e-dc5c-4ea5-b1ac-86099f535bf8.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/21170d2a-86e1-47c2-af47-3135262a35bb.jpg",
638,Lunaxx,your very own Lucy Liu,"Perth WA, Australia","Sophisticated, well travelled young lady . Currently studying a PHD. I know what I want. Question is do you ? If so message away and let's make this happen.","im looking for just one guy. im prepared to wait until that person comes into my life.
ive listed the arrangement value i'm looking for. please no hagglers as this is meant to be sugar dating and a real guy knows a ladies worth.",Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Mentorship, Platonic, Discretion, Dinner dates",,1.61 m - 1.65 m,,,,,,,Yes,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/53f7b442-9449-424e-8a7f-180098b4d460.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/49ea4361-1195-4d18-acf1-67ba21563c71.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/2392ebcf-e3eb-4714-be61-7299719a3ea6.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/49ea4361-1195-4d18-acf1-67ba21563c71.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/2392ebcf-e3eb-4714-be61-7299719a3ea6.jpg","https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/8cda3f5a-cce0-429c-9cec-2818d332245d.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/39d9a592-fd9c-42f0-a2bd-f518c524c611.jpg"
639,yourose,What are you waiting for?,"Manly NSW, Australia","Bubbly, bright with curves in al of the right places. Thats the physical side ticked. Spiritually driven, I consider myself well read so if your looking for a pretty dummy I will disappoint you there.","A mature man, that to coin a phrase has his shit together. Thats narrowed the field down I'm sure. But for those few of you left and the ones that are not in denial about fitting this category, I would love to hear from you xx",Discuss When Meet,"Travel, Luxury Lifestyle, Designer gifts, Platonic, Discretion, Romance, Dinner dates, Emotional connection",,,,,,,,,No,,,Rather Not Say,https://adultarrangements.com/wp-content/uploads/2022/07/4d980b98-8530-405d-84bc-6c6764e7aeac1.jpg,,
640,Lala19,Cherry lips,"Gold Coast QLD, Australia","Young, attractive, bubbly girl. When the weather is good you will find me at the beach.I love to go to the gym and swim in the ocean. Im a vegan so please respect that should we meat I mean meet up lol.","Probably asking a lot but here goes. A guy that's single, not children , attractive, smart, funny.",Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Mentorship, Investor, Discretion, Dinner dates",,,,,,,,,No,,,Single,https://adultarrangements.com/wp-content/uploads/2022/07/945039705c4413e93ca8faea4bdeb59ef1d.jpg,,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/257580d5e437f6c16448b56df9fae138759.jpg
641,Chika,Worth a look,"Liverpool NSW, Australia","Pretty. Well gorgeous ,was being a little modest there. Not academic, with looks like this I can give studying a miss : ) xx I make up for my knowledge of quantum mechanics in other ways. Want to find out what I'm really good at ? Then message me. If your worth my time I will most certainly be worth yours. If your not I'll probably just humiliate you in my rejection lol.",a guy that appreciates the finer things in life. that being me.,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Dinner dates",,1.66 m - 1.70 m,,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/699fe6bcfbbba04ed8c2d14c50203af75bd.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/16f4dc61990a8bbf68a0bb76b366efc7111.jpg",https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/16f4dc61990a8bbf68a0bb76b366efc7111.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/71222e75bf019d6b5deaa8cff5e0018b7451.jpg
642,love 25,Blonde bombshell,"Sunshine Coast QLD, Australia","Intelligent and pretty, I take pride in always looking my best. Thats not to say I'm not just as happy to lounge around in my PJs with Doritos all over me watching a good movie. Apart from the Doritos on me I am all class. I love animals, as result I'm a strict vegetarian. But I don't push my beliefs on others. Just I most probably wouldn't kiss you if you just are a steak. Relationships are all about mutual respect for each other I beleive.",A true gentlemen. A person that has worldly knowledge that I could learn from. A man that's the word A MAN.,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Mentorship, Platonic, Investor, Romance, Dinner dates, Emotional connection",,,,,,,,,No,,,Rather Not Say,https://adultarrangements.com/wp-content/uploads/2022/07/f78aefa0-96d8-45e0-a0b3-87f69b8581a6.jpg,,
643,Jaze12,im a pocket rocket,"Perth WA, Australia","Petite, I love to have fun, going out to dinner, dancing and I'm a movie buff.
My favourite movie is Dr sleep. Im open to see where this can lead to. To start with I would like to pursue an online relationship. Exchange pictures and message. See what happens from there.",A Person that understands me wanting to start by getting to know person online first. Thats not to say we can't have fun and be intimate in other ways xx,Arrangement Value,"Designer gifts, Online Relationship Only, Mentorship, Investor, Discretion",,,,,,,,,Yes,,,Single,https://adultarrangements.com/wp-content/uploads/2022/07/433534576c91660b0714c23cb9a748f458.jpg,,
644,sexe69,Please. Me,"Dulwich Hill NSW, Australia","Bit of a rev head, I love cars and anything that goes fast. Im currently studying full time nursing. Im confident and can hold conversation. Happy in all areas be that a restaurant a club or on the couch.",im looking to connect with a guy and to have him help me with my expenses while i'm at study. as the meerkat cat says. simples x.,Arrangement Value,"Travel, Luxury Lifestyle, Designer gifts, Discretion, Dinner dates",,,,,,,,,No,,,Single,"https://adultarrangements.com/wp-content/uploads/2022/07/230c97113708538bc9a161665a49ff2cf23.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/8793ea74735b9ca5d413fe622332f38ecc7.jpg",https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/8793ea74735b9ca5d413fe622332f38ecc7.jpg,https://adultarrangements.com/wp-content/uploads/gravity_forms/19-33a46bebe5b5ce35e199bef34130113f/2022/07/9107f291c2691ee44b8120952829e20d07.jpg
